id,businessDate,securityId,symbol,securityName,openPrice,highPrice,lowPrice,closePrice,totalTradedQuantity,totalTradedValue,previousDayClosePrice,fiftyTwoWeekHigh,fiftyTwoWeekLow,lastUpdatedTime,lastUpdatedPrice,totalTrades,averageTradedPrice,marketCapitalization
,2025-07-07,2790,ACLBSL,Aarambha Chautari Laghubitta Bittiya Sanstha Limited,1040.0,1050.0,1040.0,1043.96,2618,2742932.8,1048.12,1491.0,965.0,2025-07-07T14:57:21.743646,1043.1,49,1047.72,3832.83
,2025-07-07,397,ADBL,Agricultural Development Bank Limited,297.0,303.5,296.0,296.51,58749,17604399.3,299.94,428.4,272.3,2025-07-07T14:59:40.828374,296.3,247,299.65,41082.13
,2025-07-07,9150,AHL,Asian Hydropower Limited,607.0,621.0,601.0,604.66,3954,2420661.6,618.44,904.0,516.5,2025-07-07T14:59:47.774844,601.0,57,612.2,2055.84
,2025-07-07,360,AHPC,Arun Valley Hydropower Development Co. Ltd.,286.5,286.5,278.1,283.33,199205,56233216.41,283.74,349.0,153.1,2025-07-07T14:59:58.137865,283.1,568,282.28,10902.55
,2025-07-07,2788,AKJCL,Ankhu Khola Jalvidhyut Company Ltd,204.1,212.0,204.1,205.99,122098,25251040.4,208.24,274.9,150.9,2025-07-07T14:59:52.130782,206.1,471,206.8,4119.8
,2025-07-07,2757,AKPL,Arun Kabeli Power Ltd.,260.6,260.6,252.1,253.72,166173,42385714.0,255.52,326.0,161.9,2025-07-07T14:59:50.956102,252.1,623,255.06,9884.78
,2025-07-07,2807,ALBSL,Asha Laghubitta Bittiya Sanstha Ltd,825.0,833.0,815.1,817.19,4919,4022593.5,833.67,1177.0,771.0,2025-07-07T14:59:37.013582,817.0,80,817.76,5990.38
,2025-07-07,385,ALICL,Asian Life Insurance Co. Limited,510.1,510.1,495.0,499.75,39615,19749083.7,500.12,831.0,484.8,2025-07-07T14:59:57.650477,500.0,179,498.52,24993.29
,2025-07-07,9161,ANLB,Aatmanirbhar Laghubitta Bittiya Sanstha Limited,5635.0,5635.0,5485.3,5559.46,612,3376039.3,5596.95,6735.0,2345.0,2025-07-07T14:57:04.074574,5584.0,24,5516.4,4355.46
,2025-07-07,697,API,Api Power Company Ltd.,291.0,296.0,291.0,291.76,105322,30810358.8,293.98,390.0,169.0,2025-07-07T14:59:33.068683,291.4,451,292.53,17727.13
,2025-07-07,8117,AVYAN,Aviyan Laghubitta Bittiya Sanstha Limited,1024.1,1030.0,1007.6,1018.69,2661,2714662.4,1044.35,1306.8,832.0,2025-07-07T14:59:48.383602,1027.0,65,1020.16,2546.72
,2025-07-07,686,BARUN,Barun Hydropower Co. Ltd.,426.1,448.0,421.5,425.87,411469,178514607.1,434.75,589.0,290.0,2025-07-07T14:59:56.389159,430.0,1313,433.84,4563.75
,2025-07-07,156,BBC,Bishal Bazar Company Limited,5581.0,5581.0,5328.2,5400.0,762,4116004.0,5472.5,7247.0,3950.0,2025-07-07T14:42:02.960534,5400.0,51,5401.58,216540.0
,2025-07-07,9171,BEDC,Bhugol Energy Development Company Limited,696.3,739.5,683.0,714.12,134452,96080834.9,710.42,1080.0,417.1,2025-07-07T14:59:46.145964,714.2,651,714.61,3885.19
,2025-07-07,227,BFC,Best Finance Company Ltd.,512.0,512.0,487.0,490.43,36056,17938010.6,511.09,951.6,456.0,2025-07-07T14:59:51.290724,487.0,320,497.5,4366.91
,2025-07-07,9214,BGWT,Bhagawati Hydropower Development Company Limited,924.7,1004.0,924.7,981.61,19467,19042289.9,943.31,1241.0,857.6,2025-07-07T14:59:52.245982,977.0,284,978.18,5840.06
,2025-07-07,8075,BHDC,Bindhyabasini Hydropower Development Company Limited,500.0,504.0,486.0,490.79,70768,34919049.2,504.96,829.7,426.0,2025-07-07T14:59:59.952198,491.0,401,493.42,5544.95
,2025-07-07,8055,BHL,Balephi Hydropower Limited,209.0,216.0,209.0,210.89,103100,21844633.2,212.75,520.0,202.2,2025-07-07T14:59:57.782701,210.9,550,211.87,7710.01
,2025-07-07,9135,BHPL,Barahi Hydropower Public Limited,745.0,754.8,736.0,740.31,5421,4030902.1,744.75,1308.4,630.0,2025-07-07T14:58:35.116782,736.0,55,743.57,1850.77
,2025-07-07,8032,BNHC,Buddha Bhumi Nepal Hydropower Company Limited,500.0,514.9,498.1,500.07,6787,3405646.0,508.14,742.0,440.0,2025-07-07T14:59:59.9304,499.0,88,501.78,2000.28
,2025-07-07,195,BNL,Bottlers Nepal (Balaju) Limited,16000.4,16000.4,15800.0,15800.05,50,796008.0,16320.0,22500.0,14900.0,2025-07-07T14:47:16.305514,15800.0,5,15920.16,30792.51
,2025-07-07,213,BNT,Bottlers Nepal (Terai) Limited,12600.0,12630.0,12400.0,12401.0,292,3651504.0,12582.5,18100.0,12050.0,2025-07-07T14:59:24.702714,12400.0,21,12505.15,15005.21
,2025-07-07,153,BPCL,Butwal Power Company Limited,771.0,794.0,771.0,772.52,232078,180990207.9,786.17,895.0,289.5,2025-07-07T14:59:51.776252,775.0,817,779.86,26335.71
,2025-07-07,9191,C30MF,Citizens Super 30 Mutual Fund,9.95,10.24,9.5,9.63,127900,1248486.0,10.05,10.92,8.65,2025-07-07T14:55:31.678219,9.63,23,9.76,722.95
,2025-07-07,164,CBBL,Chhimek Laghubitta Bittiya Sanstha Limited,975.0,982.0,951.6,952.29,74350,71474389.1,970.15,1155.0,821.5,2025-07-07T14:59:59.90687,952.0,494,961.32,30619.42
,2025-07-07,245,CFCL,Central Finance Co. Ltd.,544.0,545.0,518.1,519.22,38004,20215547.7,543.3,820.0,457.7,2025-07-07T14:59:57.262307,524.9,232,531.93,4926.75
,2025-07-07,2917,CGH,Chandragiri Hills Limited,935.9,973.0,935.9,949.72,122356,116714033.9,940.76,1360.0,842.1,2025-07-07T14:59:42.333864,950.0,483,953.88,14569.57
,2025-07-07,154,CHCL,Chilime Hydropower Company Limited,535.0,535.0,527.1,528.08,101078,53703410.4,534.56,697.0,436.3,2025-07-07T14:59:55.746153,528.1,454,531.3,46378.08
,2025-07-07,3946,CHDC,CEDB Holdings Limited,2651.0,2651.0,2579.1,2594.37,45841,119169250.7,2599.11,2829.0,1063.0,2025-07-07T14:59:36.042188,2599.0,334,2599.62,26831.94
,2025-07-07,2766,CHL,Chhyangdi Hydropower Ltd.,335.8,337.4,321.0,323.5,60063,19760638.9,329.41,599.7,276.0,2025-07-07T14:59:35.956439,326.0,265,328.99,2503.74
,2025-07-07,210,CIT,Citizen Investment Trust,1925.0,1933.9,1912.0,1916.74,9171,17634853.7,1936.32,2700.0,1869.0,2025-07-07T14:59:16.208265,1917.0,161,1922.89,124237.58
,2025-07-07,9173,CITY,City Hotel Limited,830.0,844.0,830.0,830.53,5167,4306491.2,831.96,1168.5,731.1,2025-07-07T14:59:34.1054,831.1,95,833.46,13903.07
